Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
MIAMiami Heat,66,16,.805,-,37-4,29-12,15-1,41-11,102.9,95.0,+7.9,W8,9-1,NBA Standings Regular Season 2012-13
OKCOklahoma City Thunder,60,22,.732,6,34-7,26-15,10-6,39-13,105.7,96.5,+9.2,L1,7-3,NBA Standings Regular Season 2012-13
SASan Antonio Spurs,58,24,.707,8,35-6,23-18,12-4,33-19,103.0,96.6,+6.4,L3,3-7,NBA Standings Regular Season 2012-13
DENDenver Nuggets,57,25,.695,9,38-3,19-22,11-5,38-14,106.1,101.1,+5.0,W3,8-2,NBA Standings Regular Season 2012-13
LACLA Clippers,56,26,.683,10,32-9,24-17,11-5,35-17,101.1,94.6,+6.5,W7,7-3,NBA Standings Regular Season 2012-13
MEMMemphis Grizzlies,56,26,.683,10,32-9,24-17,10-6,34-18,93.4,89.3,+4.1,W2,8-2,NBA Standings Regular Season 2012-13
NYNew York Knicks,54,28,.659,12,31-10,23-18,10-6,37-15,100.0,95.7,+4.3,W1,8-2,NBA Standings Regular Season 2012-13
INDIndiana Pacers,49,32,.605,16.5,30-11,19-21,13-3,31-20,94.7,90.7,+4.0,L3,5-5,NBA Standings Regular Season 2012-13
BKNBrooklyn Nets,49,33,.598,17,26-15,23-18,11-5,36-16,96.9,95.1,+1.8,W2,7-3,NBA Standings Regular Season 2012-13
GSGolden State Warriors,47,35,.573,19,28-13,19-22,9-7,28-24,101.2,100.3,+0.9,W2,6-4,NBA Standings Regular Season 2012-13
CHIChicago Bulls,45,37,.549,21,24-17,21-20,9-7,34-18,93.2,92.9,+0.3,W2,5-5,NBA Standings Regular Season 2012-13
LALLos Angeles Lakers,45,37,.549,21,29-12,16-25,8-8,28-24,102.2,101.0,+1.2,W5,8-2,NBA Standings Regular Season 2012-13
HOUHouston Rockets,45,37,.549,21,29-12,16-25,6-10,24-28,106.0,102.5,+3.5,L2,6-4,NBA Standings Regular Season 2012-13
ATLAtlanta Hawks,44,38,.537,22,25-16,19-22,11-5,29-23,98.0,97.5,+0.5,L2,4-6,NBA Standings Regular Season 2012-13
HUtah Jazz,43,39,.524,23,30-11,13-28,9-7,26-26,98.0,98.1,-0.1,L1,7-3,NBA Standings Regular Season 2012-13
BOSBoston Celtics,41,40,.506,24.5,27-13,14-27,7-9,27-24,96.5,96.7,-0.2,L1,4-6,NBA Standings Regular Season 2012-13
Dallas Mavericks,41,41,.500,25,24-17,17-24,7-9,24-28,101.1,101.7,-0.6,W1,6-4,NBA Standings Regular Season 2012-13
MILMilwaukee Bucks,38,44,.463,28,21-20,17-24,7-9,24-28,98.9,100.4,-1.5,W1,3-7,NBA Standings Regular Season 2012-13
Philadelphia 76ers,34,48,.415,32,23-18,11-30,7-9,22-30,93.2,96.5,-3.3,W1,5-5,NBA Standings Regular Season 2012-13
Toronto Raptors,34,48,.415,32,21-20,13-28,5-11,22-30,97.2,98.7,-1.5,W5,7-3,NBA Standings Regular Season 2012-13
Portland Trail Blazers,33,49,.402,33,22-19,11-30,6-10,18-34,97.5,100.7,-3.2,L13,0-10,NBA Standings Regular Season 2012-13
Minnesota Timberwolves,31,51,.378,35,20-21,11-30,4-12,17-35,95.7,98.1,-2.4,W1,5-5,NBA Standings Regular Season 2012-13
Detroit Pistons,29,53,.354,37,18-23,11-30,8-8,25-27,94.9,98.8,-3.9,L1,5-5,NBA Standings Regular Season 2012-13
Washington Wizards,29,53,.354,37,22-19,7-34,5-11,15-37,93.2,95.8,-2.6,L6,3-7,NBA Standings Regular Season 2012-13
Sacramento Kings,28,54,.341,38,20-21,8-33,7-9,14-38,100.2,105.1,-4.9,L4,2-8,NBA Standings Regular Season 2012-13
ew Orleans Hornets,27,55,.329,39,16-25,11-30,5-11,15-37,94.1,97.9,-3.8,L5,2-8,NBA Standings Regular Season 2012-13
Phoenix Suns,25,57,.305,41,17-24,8-33,5-11,17-35,95.2,101.6,-6.4,L1,2-8,NBA Standings Regular Season 2012-13
Cleveland Cavaliers,24,58,.293,42,14-27,10-31,3-13,18-34,96.5,101.2,-4.7,L6,2-8,NBA Standings Regular Season 2012-13
Charlotte Bobcats,21,61,.256,45,15-26,6-35,6-10,18-34,93.4,102.7,-9.3,W3,4-6,NBA Standings Regular Season 2012-13
Orlando Magic,20,62,.244,46,12-29,8-33,3-13,10-42,94.1,101.1,-7.0,L3,2-8,NBA Standings Regular Season 2012-13
