Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
SASan Antonio Spurs,62,20,.756,-,32-9,30-11,12-4,38-14,105.4,97.6,+7.8,L2,6-4,NBA Standings Regular Season 2013-14
OKCOklahoma City Thunder,59,23,.720,3,34-7,25-16,11-5,36-16,106.2,99.8,+6.4,W1,6-4,NBA Standings Regular Season 2013-14
LACLA Clippers,57,25,.695,5,34-7,23-18,12-4,36-16,107.9,101.0,+6.9,L1,7-3,NBA Standings Regular Season 2013-14
INDIndiana Pacers,56,26,.683,6,35-6,21-20,12-4,38-14,96.7,92.3,+4.4,W2,4-6,NBA Standings Regular Season 2013-14
MIAMiami Heat,54,28,.659,8,32-9,22-19,12-4,34-18,102.2,97.4,+4.8,L3,4-6,NBA Standings Regular Season 2013-14
HOUHouston Rockets,54,28,.659,8,33-8,21-20,11-5,31-21,107.7,103.1,+4.6,L1,5-5,NBA Standings Regular Season 2013-14
PORPortland Trail Blazers,54,28,.659,8,31-10,23-18,13-3,31-21,106.7,102.8,+3.9,W5,9-1,NBA Standings Regular Season 2013-14
GSGolden State Warriors,51,31,.622,11,27-14,24-17,11-5,31-21,104.3,99.5,+4.8,W2,6-4,NBA Standings Regular Season 2013-14
MEMMemphis Grizzlies,50,32,.610,12,27-14,23-18,4-12,29-23,96.1,94.6,+1.5,W5,7-3,NBA Standings Regular Season 2013-14
DALDallas Mavericks,49,33,.598,13,26-15,23-18,9-7,29-23,104.8,102.4,+2.4,L1,6-4,NBA Standings Regular Season 2013-14
TORToronto Raptors,48,34,.585,14,26-15,22-19,11-5,32-20,101.3,98.0,+3.3,L1,7-3,NBA Standings Regular Season 2013-14
CHIChicago Bulls,48,34,.585,14,27-14,21-20,11-5,35-17,93.7,91.8,+1.9,L1,8-2,NBA Standings Regular Season 2013-14
Phoenix Suns,48,34,.585,14,26-15,22-19,8-8,28-24,105.2,102.6,+2.6,W1,5-5,NBA Standings Regular Season 2013-14
WSHWashington Wizards,44,38,.537,18,22-19,22-19,10-6,33-19,100.7,99.4,+1.3,W4,7-3,NBA Standings Regular Season 2013-14
BKNBrooklyn Nets,44,38,.537,18,28-13,16-25,9-7,26-26,98.5,99.5,-1.0,L2,5-5,NBA Standings Regular Season 2013-14
CHACharlotte Bobcats,43,39,.524,19,25-16,18-23,6-10,30-22,96.9,97.1,-0.2,W3,8-2,NBA Standings Regular Season 2013-14
Minnesota Timberwolves,40,42,.488,22,24-17,16-25,7-9,23-29,106.9,104.3,+2.6,L3,4-6,NBA Standings Regular Season 2013-14
ATLAtlanta Hawks,38,44,.463,24,24-17,14-27,8-8,28-24,101.0,101.5,-0.5,W1,7-3,NBA Standings Regular Season 2013-14
ew York Knicks,37,45,.451,25,19-22,18-23,10-6,26-26,98.6,99.4,-0.8,W4,7-3,NBA Standings Regular Season 2013-14
Denver Nuggets,36,46,.439,26,22-19,14-27,5-11,20-32,104.4,106.5,-2.1,L2,4-6,NBA Standings Regular Season 2013-14
ew Orleans Pelicans,34,48,.415,28,22-19,12-29,4-12,15-37,99.7,102.4,-2.7,W2,2-8,NBA Standings Regular Season 2013-14
Cleveland Cavaliers,33,49,.402,29,19-22,14-27,7-9,21-31,98.2,101.5,-3.3,W1,5-5,NBA Standings Regular Season 2013-14
Detroit Pistons,29,53,.354,33,17-24,12-29,6-10,23-29,101.0,104.7,-3.7,L4,3-7,NBA Standings Regular Season 2013-14
Sacramento Kings,28,54,.341,34,17-24,11-30,3-13,15-37,100.5,103.4,-2.9,L1,3-7,NBA Standings Regular Season 2013-14
Los Angeles Lakers,27,55,.329,35,14-27,13-28,6-10,15-37,103.0,109.2,-6.2,W2,3-7,NBA Standings Regular Season 2013-14
Boston Celtics,25,57,.305,37,16-25,9-32,5-11,21-31,96.2,100.7,-4.5,L2,2-8,NBA Standings Regular Season 2013-14
HUtah Jazz,25,57,.305,37,16-25,9-32,4-12,13-39,95.0,102.2,-7.2,W1,2-8,NBA Standings Regular Season 2013-14
Orlando Magic,23,59,.280,39,19-22,4-37,4-12,17-35,96.5,102.0,-5.5,L4,3-7,NBA Standings Regular Season 2013-14
Philadelphia 76ers,19,63,.232,43,10-31,9-32,5-11,14-38,99.5,109.9,-10.4,W2,4-6,NBA Standings Regular Season 2013-14
Milwaukee Bucks,15,67,.183,47,10-31,5-36,4-12,12-40,95.5,103.7,-8.2,L3,1-9,NBA Standings Regular Season 2013-14
