Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,Denver Nuggets,6,103.0,37.2,84.8,43.8,7.0,22.5,31.1,21.7,29.7,73.0,11.8,26.8,38.7,21.2,9.0,2.8,14.5,23.2,NBA Team Postseason Stats 2012-13
2,Golden State Warriors,12,102.7,39.0,84.4,46.2,8.7,22.3,38.8,16.0,21.8,73.6,11.5,34.6,46.1,21.7,6.4,4.9,16.5,23.8,NBA Team Postseason Stats 2012-13
3,San Antonio Spurs,21,100.3,38.0,82.2,46.3,7.9,20.8,37.8,16.4,21.5,76.3,9.7,32.9,42.6,21.9,7.9,5.0,12.9,19.1,NBA Team Postseason Stats 2012-13
4,Houston Rockets,6,100.0,34.3,81.0,42.4,11.7,33.7,34.7,19.7,27.7,71.1,10.8,32.7,43.5,18.0,5.8,5.5,15.8,23.2,NBA Team Postseason Stats 2012-13
5,Brooklyn Nets,7,99.4,37.0,83.7,44.2,6.1,19.4,31.6,19.3,25.4,75.8,11.7,30.4,42.1,19.9,6.3,5.6,11.6,19.9,NBA Team Postseason Stats 2012-13
6,Oklahoma City Thunder,11,98.5,34.8,81.6,42.7,8.6,24.7,34.9,20.2,24.1,83.8,9.8,33.1,42.9,18.1,6.0,7.0,13.6,24.9,NBA Team Postseason Stats 2012-13
7,Miami Heat,23,97.1,35.8,76.6,46.8,7.7,20.2,38.1,17.8,23.2,76.6,9.7,28.4,38.1,20.6,8.3,5.4,13.1,22.2,NBA Team Postseason Stats 2012-13
8,LA Clippers,6,94.7,35.2,75.3,46.7,5.8,19.2,30.4,18.5,23.7,78.2,8.8,28.3,37.2,18.0,5.2,5.7,13.3,27.8,NBA Team Postseason Stats 2012-13
9,Memphis Grizzlies,15,94.7,34.1,81.5,41.8,4.8,14.8,32.4,21.7,29.1,74.8,11.7,30.0,41.7,19.3,7.3,4.6,10.7,22.1,NBA Team Postseason Stats 2012-13
10,Chicago Bulls,12,91.9,35.0,79.9,43.8,5.4,17.0,31.9,16.5,22.9,72.0,11.8,29.0,40.8,19.5,6.4,4.6,14.3,22.4,NBA Team Postseason Stats 2012-13
11,Indiana Pacers,19,91.8,32.2,74.4,43.3,6.3,19.2,32.7,21.1,28.5,74.0,12.7,32.9,45.6,17.5,5.4,4.5,16.4,22.4,NBA Team Postseason Stats 2012-13
12,Atlanta Hawks,6,89.3,32.7,77.3,42.2,6.2,18.7,33.0,17.8,26.2,68.2,8.3,30.0,38.3,19.2,7.3,3.8,12.2,24.2,NBA Team Postseason Stats 2012-13
13,New York Knicks,12,88.6,33.3,81.0,41.0,8.0,23.3,34.3,14.1,18.0,78.2,10.7,28.8,39.5,15.1,8.8,4.3,11.6,23.8,NBA Team Postseason Stats 2012-13
14,Los Angeles Lakers,4,85.3,34.5,78.0,44.2,5.0,18.5,27.0,11.3,18.5,60.8,8.5,31.5,40.0,18.5,5.8,5.3,16.5,17.5,NBA Team Postseason Stats 2012-13
15,Milwaukee Bucks,4,85.3,33.3,76.8,43.3,6.0,23.0,26.1,12.8,20.3,63.0,8.8,26.0,34.8,19.8,10.0,2.5,16.3,19.8,NBA Team Postseason Stats 2012-13
16,Boston Celtics,6,82.3,28.5,69.0,41.3,6.8,20.7,33.1,18.5,21.5,86.0,5.2,33.8,39.0,16.8,5.5,3.0,17.3,18.8,NBA Team Postseason Stats 2012-13
