Rank,Team Name,W,L,PCT,GB,PPG,OPP PPG,DIFF,STRK,Title,HOME-W,HOME-L,AWAY-W,AWAY-L,DIV-W,DIV-L,CONF-W,CONF-L,Last10-W,Last10-L
1,Phoenix Suns,64,18,0.78,0.0,114.8,107.4,7.4,L1,NBA Standings Regular Season 2021-22,32,9,32,9,10,6,39,13,6,4
2,Memphis Grizzlies,56,26,0.683,8.0,115.6,109.9,5.7,L1,NBA Standings Regular Season 2021-22,30,11,26,15,11,5,36,16,7,3
3,Miami Heat,53,29,0.646,11.0,110.0,105.6,4.4,L1,NBA Standings Regular Season 2021-22,29,12,24,17,13,3,35,17,6,4
4,Golden State Warriors,53,29,0.646,11.0,111.0,105.5,5.5,W5,NBA Standings Regular Season 2021-22,31,10,22,19,12,4,33,19,6,4
5,Dallas Mavericks,52,30,0.634,12.0,108.0,104.7,3.3,W4,NBA Standings Regular Season 2021-22,29,12,23,18,14,2,36,16,8,2
6,Boston Celtics,51,31,0.622,13.0,111.8,104.5,7.3,W1,NBA Standings Regular Season 2021-22,28,13,23,18,9,7,33,19,7,3
7,Milwaukee Bucks,51,31,0.622,13.0,115.5,112.1,3.4,L1,NBA Standings Regular Season 2021-22,27,14,24,17,12,4,33,19,6,4
8,Philadelphia 76ers,51,31,0.622,13.0,109.9,107.3,2.6,W2,NBA Standings Regular Season 2021-22,24,17,27,14,6,10,32,20,6,4
9,Utah Jazz,49,33,0.598,15.0,113.6,107.6,6.0,W1,NBA Standings Regular Season 2021-22,29,12,20,21,15,1,33,19,4,6
10,Toronto Raptors,48,34,0.585,16.0,109.4,107.1,2.3,L1,NBA Standings Regular Season 2021-22,24,17,24,17,10,6,30,22,8,2
11,Denver Nuggets,48,34,0.585,16.0,112.7,110.4,2.3,L1,NBA Standings Regular Season 2021-22,23,18,25,16,6,10,29,23,6,4
12,Minnesota Timberwolves,46,36,0.561,18.0,116.0,113.3,2.7,L1,NBA Standings Regular Season 2021-22,26,15,20,21,12,4,32,20,4,6
13,Chicago Bulls,46,36,0.561,18.0,111.6,112.0,-0.4,W1,NBA Standings Regular Season 2021-22,27,14,19,22,10,6,29,23,4,6
14,Brooklyn Nets,44,38,0.537,20.0,112.9,112.1,0.8,W4,NBA Standings Regular Season 2021-22,20,21,24,17,10,6,31,21,6,4
15,Cleveland Cavaliers,44,38,0.537,20.0,107.8,105.7,2.1,W1,NBA Standings Regular Season 2021-22,25,16,19,22,10,6,27,25,3,7
16,Atlanta Hawks,43,39,0.524,21.0,113.9,112.4,1.5,W1,NBA Standings Regular Season 2021-22,27,14,16,25,9,7,26,26,7,3
17,Charlotte Hornets,43,39,0.524,21.0,115.3,114.9,0.4,W3,NBA Standings Regular Season 2021-22,22,19,21,20,8,8,27,25,6,4
18,LA Clippers,42,40,0.512,22.0,108.4,108.4,0.0,W5,NBA Standings Regular Season 2021-22,25,16,17,24,9,7,26,26,6,4
19,New York Knicks,37,45,0.451,27.0,106.5,106.6,-0.1,W2,NBA Standings Regular Season 2021-22,17,24,20,21,5,11,22,30,7,3
20,New Orleans Pelicans,36,46,0.439,28.0,109.3,110.3,-1.0,L2,NBA Standings Regular Season 2021-22,19,22,17,24,6,10,25,27,6,4
21,Washington Wizards,35,47,0.427,29.0,108.6,112.0,-3.4,L3,NBA Standings Regular Season 2021-22,21,20,14,27,7,9,24,28,5,5
22,San Antonio Spurs,34,48,0.415,30.0,113.2,113.0,0.2,L3,NBA Standings Regular Season 2021-22,16,25,18,23,6,10,24,28,6,4
23,Los Angeles Lakers,33,49,0.402,31.0,112.1,115.1,-3.0,W2,NBA Standings Regular Season 2021-22,21,20,12,29,3,13,18,34,2,8
24,Sacramento Kings,30,52,0.366,34.0,110.3,115.8,-5.5,W1,NBA Standings Regular Season 2021-22,16,25,14,27,6,10,20,32,5,5
25,Portland Trail Blazers,27,55,0.329,37.0,106.2,115.1,-8.9,L11,NBA Standings Regular Season 2021-22,17,24,10,31,1,15,11,41,0,10
26,Indiana Pacers,25,57,0.305,39.0,111.5,114.9,-3.4,L10,NBA Standings Regular Season 2021-22,16,25,9,32,2,14,11,41,0,10
27,Oklahoma City Thunder,24,58,0.293,40.0,103.7,111.8,-8.1,L3,NBA Standings Regular Season 2021-22,12,29,12,29,6,10,17,35,4,6
28,Detroit Pistons,23,59,0.28,41.0,104.8,112.5,-7.7,L3,NBA Standings Regular Season 2021-22,13,28,10,31,6,10,18,34,4,6
29,Orlando Magic,22,60,0.268,42.0,104.2,112.2,-8.0,W1,NBA Standings Regular Season 2021-22,12,29,10,31,3,13,12,40,3,7
30,Houston Rockets,20,62,0.244,44.0,109.7,118.2,-8.5,L7,NBA Standings Regular Season 2021-22,11,30,9,32,3,13,11,41,3,7
