Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
GSGolden State Warriors,73,9,.890,-,39-2,34-7,15-1,46-6,114.9,104.1,+10.8,W4,8-2,NBA Standings Regular Season 2015-16
SASan Antonio Spurs,67,15,.817,6,40-1,27-14,14-2,43-9,103.5,92.9,+10.6,W2,6-4,NBA Standings Regular Season 2015-16
CLECleveland Cavaliers,57,25,.695,16,33-8,24-17,8-8,35-17,104.3,98.3,+6.0,L1,6-4,NBA Standings Regular Season 2015-16
TORToronto Raptors,56,26,.683,17,32-9,24-17,14-2,39-13,102.7,98.2,+4.5,W4,7-3,NBA Standings Regular Season 2015-16
OKCOklahoma City Thunder,55,27,.671,18,32-9,23-18,13-3,37-15,110.2,102.9,+7.3,L1,5-5,NBA Standings Regular Season 2015-16
LACLA Clippers,53,29,.646,20,29-12,24-17,9-7,31-21,104.5,100.2,+4.3,L1,8-2,NBA Standings Regular Season 2015-16
MIAMiami Heat,48,34,.585,25,28-13,20-21,10-6,31-21,100.0,98.4,+1.6,L1,6-4,NBA Standings Regular Season 2015-16
ATLAtlanta Hawks,48,34,.585,25,27-14,21-20,8-8,29-23,102.8,99.2,+3.6,L2,6-4,NBA Standings Regular Season 2015-16
BOSBoston Celtics,48,34,.585,25,28-13,20-21,10-6,31-21,105.7,102.5,+3.2,W1,6-4,NBA Standings Regular Season 2015-16
CHACharlotte Hornets,48,34,.585,25,30-11,18-23,8-8,33-19,103.4,100.7,+2.7,W2,7-3,NBA Standings Regular Season 2015-16
INDIndiana Pacers,45,37,.549,28,26-15,19-22,8-8,30-22,102.2,100.5,+1.7,W3,7-3,NBA Standings Regular Season 2015-16
PORPortland Trail Blazers,44,38,.537,29,28-13,16-25,11-5,29-23,105.1,104.3,+0.8,W1,7-3,NBA Standings Regular Season 2015-16
DETDetroit Pistons,44,38,.537,29,26-15,18-23,10-6,29-23,102.0,101.4,+0.6,W1,6-4,NBA Standings Regular Season 2015-16
DALDallas Mavericks,42,40,.512,31,23-18,19-22,7-9,27-25,102.3,102.6,-0.3,L1,7-3,NBA Standings Regular Season 2015-16
MEMMemphis Grizzlies,42,40,.512,31,26-15,16-25,7-9,25-27,99.1,101.3,-2.2,L4,1-9,NBA Standings Regular Season 2015-16
CHIChicago Bulls,42,40,.512,31,26-15,16-25,10-6,25-27,101.6,103.1,-1.5,W3,6-4,NBA Standings Regular Season 2015-16
HOUHouston Rockets,41,41,.500,32,23-18,18-23,8-8,28-24,106.5,106.4,+0.1,W3,6-4,NBA Standings Regular Season 2015-16
WSHWashington Wizards,41,41,.500,32,22-19,19-22,10-6,30-22,104.1,104.6,-0.5,W3,6-4,NBA Standings Regular Season 2015-16
UTAHUtah Jazz,40,42,.488,33,24-17,16-25,8-8,24-28,97.7,95.9,+1.8,L2,5-5,NBA Standings Regular Season 2015-16
ORLOrlando Magic,35,47,.427,38,23-18,12-29,4-12,21-31,102.1,103.7,-1.6,L1,6-4,NBA Standings Regular Season 2015-16
SACSacramento Kings,33,49,.402,40,18-23,15-26,8-8,19-33,106.6,109.1,-2.5,L1,5-5,NBA Standings Regular Season 2015-16
DENDenver Nuggets,33,49,.402,40,18-23,15-26,4-12,18-34,101.9,105.0,-3.1,L2,3-7,NBA Standings Regular Season 2015-16
MILMilwaukee Bucks,33,49,.402,40,23-18,10-31,4-12,21-31,99.0,103.2,-4.2,L2,3-7,NBA Standings Regular Season 2015-16
NYNew York Knicks,32,50,.390,41,18-23,14-27,8-8,21-31,98.4,101.1,-2.7,L2,3-7,NBA Standings Regular Season 2015-16
NONew Orleans Pelicans,30,52,.366,43,21-20,9-32,4-12,20-32,102.7,106.5,-3.8,L3,4-6,NBA Standings Regular Season 2015-16
MINMinnesota Timberwolves,29,53,.354,44,14-27,15-26,4-12,18-34,102.4,106.0,-3.6,W1,5-5,NBA Standings Regular Season 2015-16
PHXPhoenix Suns,23,59,.280,50,14-27,9-32,6-10,17-35,100.9,107.5,-6.6,W1,3-7,NBA Standings Regular Season 2015-16
BKNBrooklyn Nets,21,61,.256,52,14-27,7-34,6-10,12-40,98.6,106.0,-7.4,L10,0-10,NBA Standings Regular Season 2015-16
LALLos Angeles Lakers,17,65,.207,56,12-29,5-36,2-14,8-44,97.3,106.9,-9.6,W1,2-8,NBA Standings Regular Season 2015-16
PHIPhiladelphia 76ers,10,72,.122,63,7-34,3-38,2-14,3-49,97.4,107.6,-10.2,L4,1-9,NBA Standings Regular Season 2015-16
