Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
HUtah Jazz,5,0,1.000,-,3-0,2-0,1-0,2-0,123.8,93.2,+30.6,W5,5-0,NBA Standings Pre Season 2018-19
LA Clippers,5,0,1.000,-,4-0,1-0,1-0,3-0,114.8,91.6,+23.2,W5,5-0,NBA Standings Pre Season 2018-19
Toronto Raptors,4,1,.800,1,3-0,1-1,1-0,1-0,116.8,100.2,+16.6,W3,4-1,NBA Standings Pre Season 2018-19
Charlotte Hornets,4,1,.800,1,3-0,1-1,1-0,3-1,114.2,109.4,+4.8,W3,4-1,NBA Standings Pre Season 2018-19
Houston Rockets,4,1,.800,1,2-1,2-0,3-0,3-0,117.6,101.4,+16.2,W3,4-1,NBA Standings Pre Season 2018-19
Washington Wizards,4,1,.800,1,2-1,2-0,1-0,3-1,118.8,108.8,+10.0,W4,4-1,NBA Standings Pre Season 2018-19
Denver Nuggets,4,1,.800,1,1-0,3-1,0-0,2-1,106.8,101.6,+5.2,W1,4-1,NBA Standings Pre Season 2018-19
Milwaukee Bucks,3,1,.750,1.5,2-0,1-1,1-0,1-0,124.8,107.3,+17.5,W1,3-1,NBA Standings Pre Season 2018-19
Philadelphia 76ers,3,1,.750,1.5,3-1,0-0,0-0,1-0,114.0,106.8,+7.2,L1,3-1,NBA Standings Pre Season 2018-19
Oklahoma City Thunder,3,1,.750,1.5,2-1,1-0,1-0,1-0,109.0,101.8,+7.2,W3,3-1,NBA Standings Pre Season 2018-19
ew York Knicks,3,2,.600,2,1-2,2-0,1-1,2-2,108.4,109.2,-0.8,L2,3-2,NBA Standings Pre Season 2018-19
Portland Trail Blazers,3,2,.600,2,2-1,1-1,0-1,3-1,113.0,107.2,+5.8,W2,3-2,NBA Standings Pre Season 2018-19
an Antonio Spurs,3,2,.600,2,2-1,1-1,0-1,0-1,108.2,102.4,+5.8,W1,3-2,NBA Standings Pre Season 2018-19
Miami Heat,3,3,.500,2.5,3-0,0-3,2-2,2-2,112.7,112.8,-0.1,W3,3-3,NBA Standings Pre Season 2018-19
Los Angeles Lakers,3,3,.500,2.5,2-3,1-0,3-1,3-3,112.5,113.5,-1.0,W2,3-3,NBA Standings Pre Season 2018-19
Indiana Pacers,2,2,.500,2.5,0-0,2-2,1-1,1-1,103.5,103.8,-0.3,L1,2-2,NBA Standings Pre Season 2018-19
Dallas Mavericks,2,2,.500,2.5,1-1,1-1,0-0,0-0,115.8,104.5,+11.3,L1,2-2,NBA Standings Pre Season 2018-19
Brooklyn Nets,2,2,.500,2.5,0-1,2-1,1-2,2-2,104.0,110.0,-6.0,W1,2-2,NBA Standings Pre Season 2018-19
Cleveland Cavaliers,2,2,.500,2.5,1-2,1-0,0-2,2-2,106.8,109.3,-2.5,L2,2-2,NBA Standings Pre Season 2018-19
Phoenix Suns,2,3,.400,3,1-2,1-1,1-1,1-3,97.2,106.4,-9.2,L1,2-3,NBA Standings Pre Season 2018-19
Chicago Bulls,2,3,.400,3,2-1,0-2,1-1,1-2,102.2,105.8,-3.6,L1,2-3,NBA Standings Pre Season 2018-19
Memphis Grizzlies,2,3,.400,3,2-1,0-2,0-2,0-2,106.6,113.6,-7.0,L2,2-3,NBA Standings Pre Season 2018-19
Orlando Magic,2,3,.400,3,2-1,0-2,0-1,0-2,101.0,95.6,+5.4,L1,2-3,NBA Standings Pre Season 2018-19
Detroit Pistons,2,3,.400,3,0-2,2-1,1-0,1-2,104.8,106.0,-1.2,W1,2-3,NBA Standings Pre Season 2018-19
Atlanta Hawks,2,3,.400,3,2-0,0-3,0-1,0-1,112.6,116.2,-3.6,L1,2-3,NBA Standings Pre Season 2018-19
Sacramento Kings,2,4,.333,3.5,1-1,1-3,1-2,1-4,110.5,117.0,-6.5,L2,2-4,NBA Standings Pre Season 2018-19
Boston Celtics,1,3,.250,3.5,1-1,0-2,0-0,1-3,102.3,107.8,-5.5,L2,1-3,NBA Standings Pre Season 2018-19
Minnesota Timberwolves,1,4,.200,4,0-2,1-2,0-1,1-2,108.8,123.8,-15.0,L4,1-4,NBA Standings Pre Season 2018-19
olden State Warriors,1,4,.200,4,1-3,0-1,1-3,1-4,111.8,113.4,-1.6,L3,1-4,NBA Standings Pre Season 2018-19
ew Orleans Pelicans,0,5,.000,5,0-1,0-4,0-0,0-0,113.0,124.8,-11.8,L5,0-5,NBA Standings Pre Season 2018-19
