Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
Denver Nuggets,82,107.5,38.4,80.6,47.6,8.1,20.8,38.8,22.7,29.6,76.5,9.6,32.3,42.0,22.1,7.4,4.3,14.1,21.0,NBA Team Regular Season Stats 2010-11
New York Knicks,82,106.5,38.3,83.7,45.7,9.3,25.4,36.8,20.6,25.5,80.9,10.3,30.1,40.5,21.4,7.6,5.8,13.7,21.3,NBA Team Regular Season Stats 2010-11
Houston Rockets,82,105.9,38.7,85.1,45.4,8.3,22.5,36.7,20.3,25.4,80.1,11.7,31.1,42.8,23.8,7.1,4.5,13.5,20.0,NBA Team Regular Season Stats 2010-11
Phoenix Suns,82,105.0,39.3,83.5,47.0,8.5,22.6,37.7,18.0,23.6,75.9,10.0,30.2,40.2,23.7,6.6,4.4,14.3,20.3,NBA Team Regular Season Stats 2010-11
Oklahoma City Thunder,82,104.8,37.4,80.6,46.4,5.9,17.1,34.7,24.1,29.3,82.3,11.0,31.8,42.8,20.4,8.0,5.9,14.1,22.4,NBA Team Regular Season Stats 2010-11
San Antonio Spurs,82,103.7,38.4,80.8,47.5,8.4,21.1,39.7,18.5,24.2,76.7,10.1,31.7,41.9,22.4,7.3,4.5,13.4,19.0,NBA Team Regular Season Stats 2010-11
Golden State Warriors,82,103.4,39.6,85.9,46.1,8.4,21.3,39.2,15.7,20.7,76.1,11.6,28.9,40.5,22.5,9.0,5.0,14.6,22.0,NBA Team Regular Season Stats 2010-11
Miami Heat,82,102.1,37.0,76.8,48.1,6.7,18.0,37.0,21.5,27.9,76.9,9.6,32.5,42.1,20.0,6.6,5.2,13.9,20.4,NBA Team Regular Season Stats 2010-11
Los Angeles Lakers,82,101.5,38.1,82.4,46.3,6.4,18.1,35.2,18.8,24.1,77.9,12.1,31.9,44.0,22.0,7.3,5.1,13.1,19.0,NBA Team Regular Season Stats 2010-11
Minnesota Timberwolves,82,101.1,37.7,85.5,44.1,7.2,19.1,37.6,18.5,24.1,76.8,13.2,31.2,44.4,20.1,7.2,5.1,17.0,22.3,NBA Team Regular Season Stats 2010-11
