Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,Minnesota Timberwolves,82,115.9,41.6,91.0,45.7,14.8,41.3,35.8,18.0,23.1,77.8,11.2,32.9,44.2,25.7,8.8,5.6,13.7,21.8,NBA Team Regular Season Stats 2021-22
2,Memphis Grizzlies,82,115.6,43.5,94.4,46.1,11.5,32.7,35.3,17.0,23.1,73.4,14.1,35.0,49.2,26.0,9.8,6.5,12.5,19.8,NBA Team Regular Season Stats 2021-22
3,Milwaukee Bucks,82,115.5,41.8,89.4,46.8,14.1,38.4,36.6,17.8,22.9,77.6,10.3,36.5,46.7,23.9,7.6,4.0,12.7,18.2,NBA Team Regular Season Stats 2021-22
4,Charlotte Hornets,82,115.3,42.8,91.4,46.8,13.9,38.2,36.5,15.8,21.4,74.0,10.8,33.7,44.6,28.1,8.6,4.9,12.7,19.9,NBA Team Regular Season Stats 2021-22
5,Phoenix Suns,82,114.8,43.7,90.1,48.5,11.6,31.9,36.4,15.9,19.9,79.7,9.8,35.5,45.3,27.4,8.6,4.4,12.3,19.9,NBA Team Regular Season Stats 2021-22
6,Atlanta Hawks,82,113.9,41.5,88.3,47.0,12.9,34.4,37.4,18.1,22.3,81.2,10.0,33.9,44.0,24.6,7.2,4.2,11.3,18.7,NBA Team Regular Season Stats 2021-22
7,Utah Jazz,82,113.6,40.6,86.2,47.1,14.5,40.3,36.0,17.9,23.4,76.7,10.8,35.6,46.3,22.4,7.2,4.9,13.2,18.9,NBA Team Regular Season Stats 2021-22
8,San Antonio Spurs,82,113.2,43.2,92.7,46.7,11.3,32.0,35.2,15.4,20.4,75.4,11.0,34.3,45.3,27.9,7.6,4.9,12.3,18.1,NBA Team Regular Season Stats 2021-22
9,Brooklyn Nets,82,112.9,42.0,88.4,47.5,11.5,31.7,36.1,17.5,21.7,80.5,10.3,34.1,44.4,25.3,7.1,5.5,13.2,20.4,NBA Team Regular Season Stats 2021-22
10,Denver Nuggets,82,112.7,41.7,86.3,48.3,12.7,35.9,35.3,16.7,21.0,79.5,9.2,34.9,44.1,27.8,7.2,3.7,13.8,20.0,NBA Team Regular Season Stats 2021-22
11,Los Angeles Lakers,82,112.1,41.6,88.8,46.9,12.0,34.5,34.7,16.8,23.0,73.2,9.5,34.5,44.0,24.0,7.6,5.2,13.9,20.2,NBA Team Regular Season Stats 2021-22
12,Boston Celtics,82,111.8,40.7,87.4,46.6,13.2,37.1,35.6,17.0,20.9,81.6,10.5,35.5,46.1,24.8,7.2,5.8,13.0,18.5,NBA Team Regular Season Stats 2021-22
13,Chicago Bulls,82,111.6,41.7,86.9,48.0,10.6,28.8,36.9,17.5,21.5,81.3,8.7,33.7,42.3,23.9,7.1,4.1,12.1,18.8,NBA Team Regular Season Stats 2021-22
14,Indiana Pacers,82,111.5,41.4,89.5,46.3,12.2,35.4,34.4,16.4,21.4,76.8,11.3,32.6,43.9,25.4,7.1,5.6,13.6,20.4,NBA Team Regular Season Stats 2021-22
15,Golden State Warriors,82,111.0,40.5,86.4,46.9,14.3,39.4,36.4,15.6,20.3,76.9,9.8,35.7,45.5,27.1,8.8,4.5,14.3,21.0,NBA Team Regular Season Stats 2021-22
16,Sacramento Kings,82,110.3,40.5,88.1,46.0,11.4,33.2,34.4,17.9,23.3,76.8,9.6,33.4,42.9,23.7,7.2,4.5,13.5,18.9,NBA Team Regular Season Stats 2021-22
17,Miami Heat,82,110.0,39.6,84.8,46.7,13.6,35.8,37.9,17.3,21.4,80.8,9.8,33.9,43.7,25.5,7.4,3.2,13.8,20.5,NBA Team Regular Season Stats 2021-22
18,Philadelphia 76ers,82,109.9,39.4,84.5,46.6,11.6,31.8,36.4,19.6,23.8,82.1,8.5,33.8,42.3,23.7,7.7,5.3,11.7,19.4,NBA Team Regular Season Stats 2021-22
19,Houston Rockets,82,109.7,39.4,86.4,45.6,13.5,38.7,34.9,17.5,24.5,71.3,9.6,32.4,42.0,23.6,7.3,4.7,15.7,20.6,NBA Team Regular Season Stats 2021-22
20,Toronto Raptors,82,109.4,40.6,91.3,44.5,11.9,34.2,34.9,16.2,21.3,75.9,13.4,32.0,45.3,22.1,9.0,4.6,11.6,19.6,NBA Team Regular Season Stats 2021-22
21,New Orleans Pelicans,82,109.3,40.2,88.0,45.7,10.6,32.1,33.2,18.3,23.2,78.9,12.0,33.2,45.2,25.0,8.3,4.0,13.3,19.7,NBA Team Regular Season Stats 2021-22
22,Washington Wizards,82,108.6,40.6,86.0,47.2,10.5,30.6,34.2,17.0,21.7,78.3,9.0,34.1,43.1,25.0,6.4,5.0,12.6,18.8,NBA Team Regular Season Stats 2021-22
23,LA Clippers,82,108.4,40.1,87.4,45.8,12.8,34.2,37.4,15.5,19.6,79.3,9.1,34.9,44.0,24.0,7.4,5.0,13.0,18.6,NBA Team Regular Season Stats 2021-22
24,Dallas Mavericks,82,108.0,39.3,85.1,46.1,13.1,37.4,35.0,16.4,21.2,77.1,9.3,33.8,43.0,23.4,6.7,4.0,11.7,19.7,NBA Team Regular Season Stats 2021-22
25,Cleveland Cavaliers,82,107.8,39.7,84.6,46.9,11.6,32.8,35.5,16.8,22.1,76.0,10.2,34.0,44.2,25.2,7.1,4.2,13.3,17.5,NBA Team Regular Season Stats 2021-22
26,New York Knicks,82,106.5,37.7,86.2,43.7,13.2,36.9,35.7,18.0,24.1,74.4,11.5,34.6,46.1,21.9,7.0,4.9,12.4,20.4,NBA Team Regular Season Stats 2021-22
27,Portland Trail Blazers,82,106.2,38.5,87.1,44.2,12.7,36.8,34.6,16.4,21.6,76.0,10.4,32.5,42.9,22.9,8.0,4.5,13.7,21.1,NBA Team Regular Season Stats 2021-22
28,Detroit Pistons,82,104.8,38.2,88.6,43.1,11.3,34.6,32.6,17.2,22.0,78.2,11.0,32.0,43.0,23.5,7.7,4.8,13.4,21.9,NBA Team Regular Season Stats 2021-22
29,Orlando Magic,82,104.2,38.3,88.3,43.4,12.2,36.9,33.1,15.5,19.7,78.7,9.1,35.2,44.3,23.7,6.8,4.5,13.8,19.7,NBA Team Regular Season Stats 2021-22
30,Oklahoma City Thunder,82,103.7,38.3,89.1,43.0,12.1,37.4,32.3,15.0,19.9,75.6,10.4,35.2,45.6,22.2,7.6,4.6,13.3,18.3,NBA Team Regular Season Stats 2021-22
