Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,San Antonio Spurs,14,102.0,37.9,78.9,48.1,9.4,22.6,41.6,16.7,22.9,73.1,8.6,32.0,40.6,22.9,6.5,4.6,14.3,20.4,NBA Team Postseason Stats 2011-12
2,Oklahoma City Thunder,20,101.3,37.2,80.0,46.5,6.8,19.2,35.5,20.1,24.5,82.0,9.3,30.5,39.8,18.0,8.7,6.9,11.6,22.4,NBA Team Postseason Stats 2011-12
3,Miami Heat,23,97.3,35.0,76.0,46.0,6.8,19.7,34.7,20.6,27.7,74.4,10.2,30.3,40.4,17.5,7.3,5.0,13.0,20.6,NBA Team Postseason Stats 2011-12
4,Denver Nuggets,7,96.7,38.4,89.3,43.0,5.3,19.0,27.8,14.6,20.3,71.8,15.4,32.3,47.7,20.9,7.0,6.9,11.1,21.0,NBA Team Postseason Stats 2011-12
5,Los Angeles Lakers,12,94.0,35.2,83.2,42.3,5.3,17.3,30.4,18.4,23.7,77.8,14.2,30.7,44.8,18.8,5.8,7.8,12.5,19.7,NBA Team Postseason Stats 2011-12
6,Dallas Mavericks,4,93.3,31.5,78.0,40.4,8.0,21.5,37.2,22.3,26.8,83.2,10.5,30.0,40.5,15.5,8.0,3.5,14.5,20.8,NBA Team Postseason Stats 2011-12
7,Memphis Grizzlies,7,91.4,32.6,76.3,42.7,3.4,11.9,28.9,22.9,30.7,74.4,13.4,29.3,42.7,16.3,7.1,4.9,15.4,23.3,NBA Team Postseason Stats 2011-12
8,Indiana Pacers,11,90.9,33.7,79.5,42.4,5.7,17.9,32.0,17.7,23.0,77.1,12.4,31.6,44.0,16.3,6.9,5.5,15.1,22.0,NBA Team Postseason Stats 2011-12
9,LA Clippers,11,90.9,34.5,75.3,45.8,6.2,16.4,37.8,15.8,23.7,66.7,8.7,28.1,36.8,17.3,9.5,6.5,14.7,24.1,NBA Team Postseason Stats 2011-12
10,Boston Celtics,20,89.5,33.8,77.2,43.8,4.7,16.3,28.5,17.3,21.6,79.9,8.0,31.9,39.9,19.8,8.2,4.9,13.0,21.7,NBA Team Postseason Stats 2011-12
11,Utah Jazz,4,86.3,32.8,85.8,38.2,2.3,11.3,20.0,18.5,26.3,70.5,16.0,32.5,48.5,16.8,6.5,6.8,13.5,20.3,NBA Team Postseason Stats 2011-12
12,Philadelphia 76ers,13,85.7,32.1,78.1,41.1,4.0,13.2,30.4,17.5,24.4,71.9,10.8,31.0,41.8,18.2,7.6,5.3,11.5,18.7,NBA Team Postseason Stats 2011-12
13,Chicago Bulls,6,84.3,34.0,80.7,42.1,4.3,12.7,34.2,12.0,18.5,64.9,11.5,35.3,46.8,22.5,5.2,6.7,14.3,20.5,NBA Team Postseason Stats 2011-12
14,Orlando Magic,5,83.8,31.0,77.8,39.8,8.4,24.6,34.1,13.4,19.0,70.5,9.8,28.6,38.4,17.2,6.0,4.4,14.0,19.0,NBA Team Postseason Stats 2011-12
15,New York Knicks,5,82.8,30.6,73.4,41.7,5.0,18.2,27.5,16.6,21.8,76.1,12.4,28.0,40.4,12.6,6.0,2.2,18.4,24.2,NBA Team Postseason Stats 2011-12
16,Atlanta Hawks,6,82.2,31.8,79.3,40.1,5.8,18.8,31.0,12.7,16.2,78.4,10.0,32.5,42.5,17.5,5.5,3.3,15.3,19.8,NBA Team Postseason Stats 2011-12
