Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,Detroit Pistons,82,90.1,33.3,76.1,43.7,5.0,15.0,33.2,18.6,25.0,74.4,10.5,28.6,39.1,19.1,5.8,3.9,13.5,19.7,NBA Team Regular Season Stats 2007-08
2,Boston Celtics,82,90.3,32.4,77.3,41.9,5.9,18.7,31.6,19.6,26.3,74.3,11.0,27.9,38.9,18.8,7.2,4.7,16.0,22.2,NBA Team Regular Season Stats 2007-08
3,San Antonio Spurs,82,90.6,34.8,78.4,44.4,5.1,15.0,34.2,15.8,20.9,75.6,9.5,30.8,40.3,18.2,6.9,4.4,12.9,19.8,NBA Team Regular Season Stats 2007-08
4,Houston Rockets,82,92.0,34.8,80.4,43.3,5.3,14.5,36.5,17.2,23.3,73.7,10.9,29.8,40.7,18.9,7.6,4.6,13.3,19.7,NBA Team Regular Season Stats 2007-08
5,New Orleans Hornets,82,95.6,37.0,80.5,46.0,6.6,18.9,35.1,14.8,19.3,77.1,9.9,30.9,40.8,21.7,5.7,4.0,13.9,19.2,NBA Team Regular Season Stats 2007-08
6,Dallas Mavericks,82,95.9,35.4,79.9,44.3,5.0,14.2,34.9,20.1,26.4,76.0,10.8,29.5,40.3,18.9,6.5,4.4,12.2,21.2,NBA Team Regular Season Stats 2007-08
7,Philadelphia 76ers,82,96.2,36.6,79.3,46.1,6.8,18.9,36.0,16.2,21.0,77.2,11.3,28.0,39.2,23.2,6.7,5.1,15.7,20.8,NBA Team Regular Season Stats 2007-08
8,Portland Trail Blazers,82,96.3,36.4,80.7,45.1,6.5,18.3,35.6,17.1,22.3,76.6,11.7,30.1,41.7,20.9,6.0,3.7,12.5,20.2,NBA Team Regular Season Stats 2007-08
9,Cleveland Cavaliers,82,96.7,35.8,78.8,45.5,6.2,17.3,35.7,18.9,25.2,74.8,9.9,30.5,40.4,21.0,6.8,4.7,13.3,20.3,NBA Team Regular Season Stats 2007-08
10,Toronto Raptors,82,97.3,36.7,80.1,45.8,7.5,20.5,36.8,16.4,21.1,77.6,10.1,31.5,41.6,21.9,5.7,4.1,14.0,18.4,NBA Team Regular Season Stats 2007-08
11,Orlando Magic,82,99.0,37.3,83.6,44.6,6.3,17.6,35.8,18.2,24.1,75.4,11.0,30.7,41.7,21.5,7.1,4.2,13.2,23.1,NBA Team Regular Season Stats 2007-08
12,Washington Wizards,82,99.2,36.8,79.7,46.1,8.3,21.6,38.6,17.3,22.9,75.4,11.0,30.2,41.2,23.9,6.5,4.4,14.0,20.2,NBA Team Regular Season Stats 2007-08
13,Utah Jazz,82,99.3,35.3,76.7,46.1,6.2,17.3,35.7,22.5,30.1,74.9,10.3,27.5,37.8,19.9,7.5,5.1,15.9,23.1,NBA Team Regular Season Stats 2007-08
14,Miami Heat,82,100.0,36.9,79.0,46.8,6.7,18.3,36.9,19.4,25.7,75.5,11.2,31.9,43.1,22.2,7.7,4.2,14.2,20.1,NBA Team Regular Season Stats 2007-08
15,Atlanta Hawks,82,100.0,38.0,82.1,46.3,6.2,17.2,36.2,17.8,23.7,75.2,11.8,29.1,40.9,22.3,7.5,5.1,13.7,21.9,NBA Team Regular Season Stats 2007-08
16,Chicago Bulls,82,100.4,36.4,80.3,45.3,7.0,18.6,37.5,20.7,27.0,76.6,11.1,31.5,42.6,21.9,7.9,5.7,15.3,21.3,NBA Team Regular Season Stats 2007-08
17,New Jersey Nets,82,100.9,36.4,79.8,45.6,6.5,17.7,36.9,21.6,28.2,76.8,10.9,30.7,41.6,22.1,8.1,4.4,13.4,22.4,NBA Team Regular Season Stats 2007-08
18,LA Clippers,82,101.1,38.0,81.3,46.7,5.9,17.0,34.9,19.2,25.6,75.1,11.2,32.4,43.6,22.4,7.2,4.7,13.6,21.6,NBA Team Regular Season Stats 2007-08
19,Los Angeles Lakers,82,101.3,38.1,85.6,44.5,6.8,18.7,36.2,18.3,24.3,75.2,12.0,30.7,42.8,21.9,7.7,4.5,14.2,22.6,NBA Team Regular Season Stats 2007-08
20,Charlotte Bobcats,82,101.4,38.0,81.5,46.6,6.3,17.8,35.5,19.2,25.6,74.7,12.2,31.6,43.7,21.8,7.6,5.8,14.4,21.0,NBA Team Regular Season Stats 2007-08
21,Minnesota Timberwolves,82,102.4,37.3,79.0,47.2,6.6,18.5,35.7,21.2,27.6,76.9,10.6,31.0,41.7,23.2,7.4,5.7,13.5,17.5,NBA Team Regular Season Stats 2007-08
22,New York Knicks,82,103.5,38.8,81.8,47.4,7.2,19.4,36.9,18.7,25.3,73.9,11.3,31.4,42.6,21.6,7.6,5.2,12.8,20.3,NBA Team Regular Season Stats 2007-08
23,Milwaukee Bucks,82,103.9,38.4,80.0,48.0,7.2,18.7,38.4,20.0,26.1,76.6,10.6,30.0,40.7,23.3,7.9,4.9,13.7,21.1,NBA Team Regular Season Stats 2007-08
24,Sacramento Kings,82,104.8,38.3,82.1,46.6,7.3,19.5,37.3,21.0,27.9,75.3,11.8,30.1,41.9,22.9,8.1,5.5,15.2,23.1,NBA Team Regular Season Stats 2007-08
25,Phoenix Suns,82,105.0,41.1,90.0,45.6,5.7,16.2,35.3,17.2,22.9,74.9,13.4,30.5,43.9,19.6,7.3,3.8,13.4,21.1,NBA Team Regular Season Stats 2007-08
26,Indiana Pacers,82,105.4,37.7,83.1,45.4,7.4,19.2,38.6,22.6,29.8,75.7,11.3,34.1,45.5,22.2,8.1,5.1,15.8,21.7,NBA Team Regular Season Stats 2007-08
27,Seattle SuperSonics,82,106.3,40.1,87.0,46.1,7.4,19.2,38.5,18.7,25.0,74.9,11.7,32.4,44.1,24.4,8.6,5.4,13.2,19.6,NBA Team Regular Season Stats 2007-08
28,Memphis Grizzlies,82,106.9,41.4,86.3,48.0,7.2,19.8,36.4,16.9,21.8,77.4,11.4,33.2,44.5,23.9,8.7,4.9,13.4,22.5,NBA Team Regular Season Stats 2007-08
29,Denver Nuggets,82,107.0,40.7,89.1,45.7,7.6,20.9,36.3,18.1,24.7,73.0,12.7,32.7,45.4,25.7,7.9,4.8,16.4,23.8,NBA Team Regular Season Stats 2007-08
30,Golden State Warriors,82,108.8,39.9,85.3,46.8,7.0,19.0,36.8,22.0,29.0,75.9,12.8,34.2,47.0,23.6,6.9,5.0,16.9,21.2,NBA Team Regular Season Stats 2007-08
