Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Alex Abrines,GF,6-6,190,24,OKC,75,1,Barca (Spain),2013 Rnd 2 Pick 2,Spain,NBA 2017-2018 Players Information
Quincy Acy,F,6-7,240,27,BRK,70,5,Baylor,2012 Rnd 2 Pick 7,United States,NBA 2017-2018 Players Information
Steven Adams,C,6-11,265,24,OKC,76,4,Pittsburgh,2013 Rnd 1 Pick 12,New Zealand,NBA 2017-2018 Players Information
Bam Adebayo,C,6-9,255,20,MIA,69,0,Kentucky,2017 Rnd 1 Pick 14,United States,NBA 2017-2018 Players Information
Arron Afflalo,SG,6-5,210,32,ORL,53,10,UCLA,2007 Rnd 1 Pick 27,United States,NBA 2017-2018 Players Information
Cole Aldrich,C,6-11,253,29,MIN,21,7,Kansas,2010 Rnd 1 Pick 11,United States,NBA 2017-2018 Players Information
LaMarcus Aldridge,FC,6-11,265,32,SAS,75,11,Texas,2006 Rnd 1 Pick 2,United States,NBA 2017-2018 Players Information
Jarrett Allen,C,6-9,243,19,BRK,72,0,Texas,2017 Rnd 1 Pick 22,United States,NBA 2017-2018 Players Information
Kadeem Allen,G,6-3,200,25,BOS,18,0,Arizona,2017 Rnd 2 Pick 23,United States,NBA 2017-2018 Players Information
Tony Allen,SG,6-4,213,36,NOP,22,13,Oklahoma State,2004 Rnd 1 Pick 25,United States,NBA 2017-2018 Players Information
Al-Farouq Aminu,F,6-9,220,27,POR,69,7,Wake Forest,2010 Rnd 1 Pick 8,United StatesNigeria,NBA 2017-2018 Players Information
Justin Anderson,F,6-6,230,24,PHI,38,2,Virginia,2015 Rnd 1 Pick 21,United States,NBA 2017-2018 Players Information
Kyle Anderson,PF,6-9,230,24,SAS,74,3,UCLA,2014 Rnd 1 Pick 30,United StatesChina,NBA 2017-2018 Players Information
Ryan Anderson,PF,6-10,240,29,HOU,66,9,California,2008 Rnd 1 Pick 21,United States,NBA 2017-2018 Players Information
Ike Anigbogu,C,6-9,252,19,IND,11,0,UCLA,2017 Rnd 2 Pick 17,United States,NBA 2017-2018 Players Information
Giannis Antetokounmpo,F,6-11,243,23,MIL,75,4,Filathlitikos Div II Greece (Greece),2013 Rnd 1 Pick 15,GreeceNigeria,NBA 2017-2018 Players Information
Carmelo Anthony,F,6-8,240,33,OKC,78,14,Syracuse,2003 Rnd 1 Pick 3,United States,NBA 2017-2018 Players Information
OG Anunoby,SF,6-7,240,20,TOR,74,0,Indiana,2017 Rnd 1 Pick 23,EnglandUnited States,NBA 2017-2018 Players Information
Ryan Arcidiacono,G,6-3,195,23,CHI,24,0,Villanova,"2016 NBA Draft, Undrafted",United States,NBA 2017-2018 Players Information
Trevor Ariza,SF,6-8,215,32,HOU,67,13,UCLA,2004 Rnd 2 Pick 14,United States,NBA 2017-2018 Players Information
Darrell Arthur,PF,6-9,235,29,DEN,19,9,Kansas,2008 Rnd 1 Pick 27,United States,NBA 2017-2018 Players Information
Jamel Artis,F,6-7,213,25,ORL,15,0,Pittsburgh,"2017 NBA Draft, Undrafted",United States,NBA 2017-2018 Players Information
Omer Asik,C,7-0,255,31,"CHI, NOP",18,7,Fenerbahce Beko (Turkey),2008 Rnd 2 Pick 6,Turkey,NBA 2017-2018 Players Information
D.J. Augustin,G,6-0,183,30,ORL,75,9,Texas,2008 Rnd 1 Pick 9,United States,NBA 2017-2018 Players Information
Luke Babbitt,SF,6-9,225,28,"ATL, MIA",50,7,Nevada,2010 Rnd 1 Pick 16,United States,NBA 2017-2018 Players Information
Dwayne Bacon,SF,6-6,221,22,CHA,53,0,Florida State,2017 Rnd 2 Pick 10,United States,NBA 2017-2018 Players Information
Ron Baker,G,6-4,220,24,NYK,29,1,Wichita State,"2016 NBA Draft, Undrafted",United States,NBA 2017-2018 Players Information
Wade Baldwin IV,G,6-4,220,21,POR,7,1,Vanderbilt,2016 Rnd 1 Pick 17,United States,NBA 2017-2018 Players Information
Lonzo Ball,PG,6-6,190,20,LAL,52,0,UCLA,2017 Rnd 1 Pick 2,United States,NBA 2017-2018 Players Information
