Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Quincy Acy,F,6-7,240,24,NYK,68,2,Baylor,2012 Rnd 2 Pick 7,United States,NBA 2014-2015 Players Information
Jordan Adams,SG,6-5,209,20,MEM,30,0,UCLA,2014 Rnd 1 Pick 22,United States,NBA 2014-2015 Players Information
Steven Adams,C,6-11,265,21,OKC,70,1,Pittsburgh,2013 Rnd 1 Pick 12,New Zealand,NBA 2014-2015 Players Information
Jeff Adrien,SF,6-7,245,29,MIN,17,4,UConn,"2009 NBA Draft, Undrafted",United States,NBA 2014-2015 Players Information
Arron Afflalo,SG,6-5,210,29,"DEN, POR",78,7,UCLA,2007 Rnd 1 Pick 27,United States,NBA 2014-2015 Players Information
Alexis Ajinca,C,7-2,248,26,NOP,68,4,Hyeres-Toulon (France),2008 Rnd 1 Pick 20,France,NBA 2014-2015 Players Information
Furkan Aldemir,PF,6-10,240,23,PHI,41,0,Galatasaray (Turkey),2012 Rnd 2 Pick 23,Turkey,NBA 2014-2015 Players Information
Cole Aldrich,C,6-11,253,26,NYK,61,4,Kansas,2010 Rnd 1 Pick 11,United States,NBA 2014-2015 Players Information
LaMarcus Aldridge,FC,6-11,265,29,POR,71,8,Texas,2006 Rnd 1 Pick 2,United States,NBA 2014-2015 Players Information
Lavoy Allen,PF,6-9,260,26,IND,63,3,Temple,2011 Rnd 2 Pick 20,United States,NBA 2014-2015 Players Information
Tony Allen,SG,6-4,213,33,MEM,63,10,Oklahoma State,2004 Rnd 1 Pick 25,United States,NBA 2014-2015 Players Information
Al-Farouq Aminu,F,6-9,220,24,DAL,74,4,Wake Forest,2010 Rnd 1 Pick 8,United StatesNigeria,NBA 2014-2015 Players Information
Lou Amundson,PF,6-9,220,32,"CLE, NYK",53,8,UNLV,"2006 NBA Draft, Undrafted",United States,NBA 2014-2015 Players Information
Chris Andersen,FC,6-10,245,36,MIA,60,12,Blinn,"1999 NBA Draft, Undrafted",United States,NBA 2014-2015 Players Information
Alan Anderson,GF,6-6,220,32,BRK,74,5,Michigan State,"2005 NBA Draft, Undrafted",United States,NBA 2014-2015 Players Information
Kyle Anderson,PF,6-9,230,21,SAS,33,0,UCLA,2014 Rnd 1 Pick 30,United StatesChina,NBA 2014-2015 Players Information
Ryan Anderson,PF,6-10,240,26,NOP,61,6,California,2008 Rnd 1 Pick 21,United States,NBA 2014-2015 Players Information
Giannis Antetokounmpo,F,6-11,243,20,MIL,81,1,Filathlitikos Div II Greece (Greece),2013 Rnd 1 Pick 15,GreeceNigeria,NBA 2014-2015 Players Information
Carmelo Anthony,F,6-8,240,30,NYK,40,11,Syracuse,2003 Rnd 1 Pick 3,United States,NBA 2014-2015 Players Information
Joel Anthony,C,6-9,245,32,DET,49,7,UNLV,"2007 NBA Draft, Undrafted",Canada,NBA 2014-2015 Players Information
Pero Antic,C,6-11,260,32,ATL,63,1,AEK Athens (Greece),"2004 NBA Draft, Undrafted",North Macedonia,NBA 2014-2015 Players Information
Trevor Ariza,SF,6-8,215,29,HOU,82,10,UCLA,2004 Rnd 2 Pick 14,United States,NBA 2014-2015 Players Information
Darrell Arthur,PF,6-9,235,26,DEN,58,6,Kansas,2008 Rnd 1 Pick 27,United States,NBA 2014-2015 Players Information
Omer Asik,C,7-0,255,28,NOP,76,4,Fenerbahce Beko (Turkey),2008 Rnd 2 Pick 6,Turkey,NBA 2014-2015 Players Information
D.J. Augustin,G,6-0,183,27,"DET, OKC",82,6,Texas,2008 Rnd 1 Pick 9,United States,NBA 2014-2015 Players Information
Jeff Ayres,FC,6-10,240,27,SAS,51,4,Arizona State,2009 Rnd 2 Pick 1,United States,NBA 2014-2015 Players Information
Luke Babbitt,SF,6-9,225,25,NOP,63,4,Nevada,2010 Rnd 1 Pick 16,United States,NBA 2014-2015 Players Information
Cameron Bairstow,F,6-9,250,24,CHI,18,0,New Mexico,2014 Rnd 2 Pick 19,Australia,NBA 2014-2015 Players Information
Leandro Barbosa,G,6-3,194,32,GSW,66,11,Bauru (Brazil),2003 Rnd 1 Pick 28,Brazil,NBA 2014-2015 Players Information
J.J. Barea,G,5-10,180,30,DAL,77,8,Northeastern,"2006 NBA Draft, Undrafted",Puerto RicoUnited States,NBA 2014-2015 Players Information
Andrea Bargnani,FC,7-0,245,29,NYK,29,8,Universo De'Longhi Treviso (Italy),2006 Rnd 1 Pick 1,Italy,NBA 2014-2015 Players Information
Harrison Barnes,SF,6-8,225,22,GSW,82,2,North Carolina,2012 Rnd 1 Pick 7,United States,NBA 2014-2015 Players Information
Matt Barnes,GF,6-7,226,34,LAC,76,12,UCLA,2002 Rnd 2 Pick 17,United States,NBA 2014-2015 Players Information
Earl Barron,C,7-0,250,33,PHX,16,8,Memphis,"2003 NBA Draft, Undrafted",United States,NBA 2014-2015 Players Information
Will Barton,GF,6-5,181,24,"DEN, POR",58,2,Memphis,2012 Rnd 2 Pick 10,United States,NBA 2014-2015 Players Information
Brandon Bass,PF,6-8,250,29,BOS,82,9,LSU,2005 Rnd 2 Pick 3,United States,NBA 2014-2015 Players Information
Nicolas Batum,F,6-8,230,26,POR,71,6,Le Mans Sarthe Basket (France),2008 Rnd 1 Pick 25,France,NBA 2014-2015 Players Information
Jerryd Bayless,G,6-3,210,26,MIL,77,6,Arizona,2008 Rnd 1 Pick 11,United States,NBA 2014-2015 Players Information
Aron Baynes,C,6-10,260,28,SAS,70,2,Washington State,"2009 NBA Draft, Undrafted",New ZealandAustralia,NBA 2014-2015 Players Information
Kent Bazemore,GF,6-4,195,25,ATL,75,2,Old Dominion,"2012 NBA Draft, Undrafted",United States,NBA 2014-2015 Players Information
Bradley Beal,SG,6-4,207,21,WAS,63,2,Florida,2012 Rnd 1 Pick 3,United States,NBA 2014-2015 Players Information
Michael Beasley,PF,6-9,235,26,MIA,24,6,Kansas State,2008 Rnd 1 Pick 2,United States,NBA 2014-2015 Players Information
Marco Belinelli,G,6-5,225,28,SAS,62,7,Fortituto Kontatto Bologna (Italy),2007 Rnd 1 Pick 18,Italy,NBA 2014-2015 Players Information
Jerrelle Benimon,F,6-8,245,23,UTA,2,0,Towson,"2014 NBA Draft, Undrafted",United States,NBA 2014-2015 Players Information
Anthony Bennett,PF,6-8,245,21,MIN,57,1,UNLV,2013 Rnd 1 Pick 1,Canada,NBA 2014-2015 Players Information
Patrick Beverley,PG,6-2,180,26,HOU,56,2,Dnipro Dnipropetrovsk (Ukraine),2009 Rnd 2 Pick 12,United States,NBA 2014-2015 Players Information
Sim Bhullar,C,7-5,355,22,SAC,3,0,New Mexico State,"2014 NBA Draft, Undrafted",Canada,NBA 2014-2015 Players Information
Bismack Biyombo,PF,6-8,255,22,CHA,64,3,Urbas Fuenlabrada (Spain),2011 Rnd 1 Pick 7,Democratic Republic of the Congo,NBA 2014-2015 Players Information
Tarik Black,PF,6-9,250,23,"HOU, LAL",63,0,Kansas,"2014 NBA Draft, Undrafted",United States,NBA 2014-2015 Players Information
DeJuan Blair,F,6-8,270,25,WAS,29,5,Pittsburgh,2009 Rnd 2 Pick 7,United States,NBA 2014-2015 Players Information
Steve Blake,G,6-3,172,35,POR,81,11,Maryland,2003 Rnd 2 Pick 9,United States,NBA 2014-2015 Players Information
Eric Bledsoe,PG,6-1,214,25,PHX,81,4,Kentucky,2010 Rnd 1 Pick 18,United States,NBA 2014-2015 Players Information
Vander Blue,SG,6-4,196,22,LAL,2,1,Marquette,"2013 NBA Draft, Undrafted",United States,NBA 2014-2015 Players Information
Bojan Bogdanovic,F,6-7,226,25,BRK,78,0,KK Cibona (Croatia),2011 Rnd 2 Pick 1,Bosnia and HerzegovinaCroatia,NBA 2014-2015 Players Information
Andrew Bogut,C,7-0,260,30,GSW,67,9,Utah,2005 Rnd 1 Pick 1,Australia,NBA 2014-2015 Players Information
Matt Bonner,FC,6-10,235,34,SAS,72,10,Florida,2003 Rnd 2 Pick 16,United States,NBA 2014-2015 Players Information
Trevor Booker,PF,6-8,228,27,UTA,79,4,Clemson,2010 Rnd 1 Pick 23,United States,NBA 2014-2015 Players Information
Carlos Boozer,PF,6-9,266,33,LAL,71,12,Duke,2002 Rnd 2 Pick 6,GermanyUnited States,NBA 2014-2015 Players Information
Chris Bosh,PF,6-11,235,30,MIA,44,11,Georgia Tech,2003 Rnd 1 Pick 4,United States,NBA 2014-2015 Players Information
Avery Bradley,PG,6-3,180,24,BOS,77,4,Texas,2010 Rnd 1 Pick 19,United States,NBA 2014-2015 Players Information
Elton Brand,PF,6-9,254,35,ATL,36,15,Duke,1999 Rnd 1 Pick 1,United States,NBA 2014-2015 Players Information
